_id;Caráter PBFM;Serviço;UF PBFM;Município-UF;Canal PBFM;Frequência PBFM;Medida da Freq. PBFM;Classe PBFM;ERP PBFM;HCI PBFM;Categoria da Estação PBFM;Latitude Decimal;Longitude Decimal;Latitude GMS PBFM;Longitude GMS PBFM
57dbac0d0f92f;Primário;FM;AC;Acrelândia - AC;231;94.1;MHz;E3;418.9973;110;Principal;-10.07086;-67.29354;10S04 15;67W17 37
57dbac0d14b10;Primário;FM;AC;Assis Brasil - AC;215;90.9;MHz;C;0.3;;;-10.941388888889;-69.566944444444;10S56 29;69W34 01
57dbac0d16914;Primário;FM;AC;Brasiléia - AC;212;90.3;MHz;C;0.3953;48.8;Principal;-11.01588;-68.74454;11S00 57;68W44 40
57dbac0d1a841;Primário;FM;AC;Bujari - AC;204;88.7;MHz;C;0.3;;;-9.8305555555555;-67.952222222222;9S49 50;67W57 08
57dbac0d1be73;Primário;FM;AC;Capixaba - AC;203;88.5;MHz;C;0.3;;;-10.572777777778;-67.675555555556;10S34 22;67W40 32
57dbac0d1dac5;Primário;FM;AC;Cruzeiro do Sul - AC;260;99.9;MHz;B2;1;15;;-7.6388888888888;-72.675;7S38 20;72W40 30
57dbac0d21cd8;Primário;FM;AC;Cruzeiro do Sul - AC;265;100.9;MHz;B1;5.0388;55;Principal;-7.63583;-72.67361;7S38 09;72W40 25
57dbac0d25d65;Primário;FM;AC;Cruzeiro do Sul - AC;300;107.9;MHz;B2;0.757;51.1;Principal;-7.63211;-72.66993;7S37 56;72W40 12
57dbac0d29e9b;Primário;FM;AC;Epitaciolândia - AC;258;99.5;MHz;A4;8.679;51;Principal;-11.028333333333;-68.7425;11S01 42;68W44 33
57dbac0d2e06e;Primário;FM;AC;Feijó - AC;208;89.5;MHz;B1;6.0425;65;Principal;-8.1708333333333;-70.3575;8S10 15;70W21 27
57dbac0d31b42;Primário;FM;AC;Jordão - AC;203;88.5;MHz;C;0.3;;;-9.4341666666667;-71.883888888889;9S26 03;71W53 02
57dbac0d33083;Primário;RTRFM;AC;Mâncio Lima - AC;204;88.7;MHz;C;0.3;;;-7.6141666666667;-72.895833333333;7S36 51;72W53 45
57dbac0d34b71;Primário;FM;AC;Manoel Urbano - AC;203;88.5;MHz;C;0.3;45;;-8.843611111111;-69.263611111111;8S50 37;69W15 49
57dbac0d38eb1;Primário;FM;AC;Marechal Thaumaturgo - AC;203;88.5;MHz;C;0.3;48;;-8.941111111111;-72.791666666667;8S56 28;72W47 30
57dbac0d3b160;Primário;FM;AC;Plácido de Castro - AC;238;95.5;MHz;B1;2.1753;70;Principal;-10.3325;-67.187222222222;10S19 57;67W11 14
57dbac0d3f302;Primário;FM;AC;Porto Acre - AC;209;89.7;MHz;B1;3;75;;-9.7330555555555;-67.691388888889;9S43 59;67W41 29
57dbac0d43425;Primário;FM;AC;Porto Walter - AC;211;90.1;MHz;B1;5.1955;53.5;Principal;-8.2652777777777;-72.741944444444;8S15 55;72W44 31
57dbac0d47539;Primário;FM;AC;Rio Branco - AC;227;93.3;MHz;B2;1;36;;-9.988611111111;-67.817777777778;9S59 19;67W49 04
57dbac0d4c034;Primário;FM;AC;Rio Branco - AC;234;94.7;MHz;B1;7.2676;60;Principal;-9.95028;-67.82167;9S57 01;67W49 18
57dbac0d5074c;Primário;FM;AC;Rio Branco - AC;245;96.9;MHz;B2;0.6955;83.95;Principal;-9.9725;-67.810277777778;9S58 21;67W48 37
57dbac0d54a9c;Primário;FM;AC;Rio Branco - AC;251;98.1;MHz;A4;1;75;;-9.94;-67.831944444444;9S56 24;67W49 55
57dbac0d5983a;Primário;FM;AC;Rio Branco - AC;300;107.9;MHz;A2;5;75;;-9.9702777777777;-67.809444444444;9S58 13;67W48 34
