_id;Caráter PBOM;Serviço PBOM;UF PBOM;Município PBOM;Município-UF;Frequência PBOM;Medida da Freq. PBOM;Classe PBOM;Latitude Decimal PBOM;Longitude Decimal PBOM;Latitude GMS PBOM;Longitude GMS PBOM;Latitude Decimal;Longitude Decimal;ERP PBOM;Altura da Torre PBOM;Categoria da Estação PBOM
57dbac5959d05;Primário;OM;AC;Brasiléia;Brasiléia - AC;1170;KHz;C;-11.016666666667;-68.733333333333;11S01 00;68W43 60;-11.016666666667;-68.733333333333;;58;
57dbac595d366;Primário;OM;AC;Cruzeiro do Sul;Cruzeiro do Sul - AC;720;KHz;B;-7.6333333333333;-72.666666666667;7S37 60;72W40 00;-7.6333333333333;-72.666666666667;;99;
57dbac59611fd;Primário;OM;AC;Cruzeiro do Sul;Cruzeiro do Sul - AC;940;KHz;C;-7.646111111111;-72.693055555556;7S38 46;72W41 35;-7.646111111111;-72.693055555556;;73;
57dbac5965321;Primário;OM;AC;Feijó;Feijó - AC;630;KHz;B;-8.1666666666667;-70.35;8S10 00;70W20 60;-8.1666666666667;-70.35;;116;
57dbac59680ac;Primário;OM;AC;Feijó;Feijó - AC;1170;KHz;C;-8.1666666666667;-70.35;8S10 00;70W20 60;-8.1666666666667;-70.35;;58;
57dbac596bad4;Primário;OM;AC;Plácido de Castro;Plácido de Castro - AC;700;KHz;C;-10.3325;-67.185277777778;10S19 57;67W11 07;-10.3325;-67.185277777778;;55;
57dbac596e31c;Primário;OM;AC;Rio Branco;Rio Branco - AC;740;KHz;B;-9.9;-67.766666666667;9S54 00;67W46 00;-9.9;-67.766666666667;;108;
57dbac59723f0;Primário;OM;AC;Rio Branco;Rio Branco - AC;800;KHz;B;-9.9666666666667;-67.816666666667;9S58 00;67W49 00;-9.9666666666667;-67.816666666667;;105;
57dbac597520b;Primário;OM;AC;Rio Branco;Rio Branco - AC;1350;KHz;B;-9.94681;-67.89047;9S56 49;67W53 26;-9.94681;-67.89047;;67;Principal
57dbac597961a;Primário;OM;AC;Rio Branco;Rio Branco - AC;1400;KHz;B;-10.013888888889;-67.833333333333;10S00 50;67W49 60;-10.013888888889;-67.833333333333;;60;
57dbac597d73c;Primário;OM;AC;Sena Madureira;Sena Madureira - AC;670;KHz;C;-9.0580555555555;-68.664444444444;9S03 29;68W39 52;-9.0580555555555;-68.664444444444;;80;Principal
57dbac5981635;Primário;OM;AC;Tarauacá;Tarauacá - AC;820;KHz;C;-8.1533333333333;-70.776111111111;8S09 12;70W46 34;-8.1533333333333;-70.776111111111;;73;Principal
57dbac5985066;Primário;OM;AC;Xapuri;Xapuri - AC;820;KHz;C;-10.65;-68.5;10S39 00;68W30 00;-10.65;-68.5;;73;
57dbac59879a4;Primário;OM;AL;Arapiraca;Arapiraca - AL;570;KHz;B;-9.7627777777777;-36.644444444444;9S45 46;36W38 40;-9.7627777777777;-36.644444444444;;105;
57dbac598b87e;Primário;OM;AL;Arapiraca;Arapiraca - AL;1150;KHz;B;-9.7558333333333;-36.6725;9S45 21;36W40 21;-9.7558333333333;-36.6725;;91;
